,ID,Database,SMILES_chiral,Counts,Rel_Sol_2mM,ROMol,SMILES,HBA,HBD,LOGP,TPSA,RB,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
28,Z1458359453,EnamineSolWat,O=C(NCC(F)(F)F)C1CCNC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25d20>,Cl.O=C(NCC(F)(F)F)C1CCNC1,2,2,0.2743999999999998,41.13,2,2.826,7,1,2,0.5384615384615384,0.0769230769230769,0.1538461538461538,0.8571428571428571,0.1428571428571428,196.082347632,13,1,1,0,1,1,0,0,0
29,Z3910411678,EnamineSolWat,CC1(C)CNCC(COc2ccccc2)O1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25d90>,CC1(C)CNCC(COc2ccccc2)O1,3,1,1.8324,30.49,3,2.833,13,2,1,0.8125,0.125,0.0625,0.5384615384615384,0.0769230769230769,221.141578848,16,2,1,1,1,1,1,0,0
30,Z1457922926,EnamineSolWat,NC1(C(=O)Nc2ccc(F)cc2)CC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25e00>,Cl.NC1(C(=O)Nc2ccc(F)cc2)CC1,2,2,1.2554999999999998,55.120000000000005,2,1.89,10,1,2,0.7142857142857143,0.0714285714285714,0.1428571428571428,0.3,0.0,194.085541192,14,2,1,1,0,0,1,0,0
31,Z1891775852,EnamineSolWat,O=C1CC(CO)CN1Cc1ccccc1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25e70>,O=C1CC(CO)CN1Cc1ccccc1,2,1,1.0274,40.54,3,2.343,12,2,1,0.8,0.1333333333333333,0.0666666666666666,0.4166666666666667,0.0833333333333333,205.11027872,15,2,1,1,1,1,1,0,0
32,Z3231911156,EnamineSolWat,Cc1cnccc1OC1CCNCC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25ee0>,Cc1cnccc1OC1CCNCC1,3,1,1.5208199999999998,34.15,2,2.36,11,1,2,0.7857142857142857,0.0714285714285714,0.1428571428571428,0.5454545454545454,0.0,192.126263132,14,2,1,1,2,1,1,0,0
33,Z1207150502,EnamineSolWat,Cc1[nH]c(C(F)(F)F)cc1C(=O)O,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25f50>,Cc1[nH]c(C(F)(F)F)cc1C(=O)O,1,2,2.04012,53.09,1,2.719,7,2,1,0.5384615384615384,0.1538461538461538,0.0769230769230769,0.2857142857142857,0.0,193.035063092,13,1,0,1,1,0,1,0,0
34,Z3243594731,EnamineSolWat,N#CCc1coc2ccc(F)cc12,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc25fc0>,N#CCc1coc2ccc(F)cc12,2,0,2.6379800000000007,36.93,1,2.403,10,1,1,0.7692307692307693,0.0769230769230769,0.0769230769230769,0.1,0.0,175.043342032,13,2,0,2,1,0,2,0,0
35,Z3228022042,EnamineSolWat,NC1CCN(c2ccccc2F)C1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26030>,NC1CCN(c2ccccc2F)C1,2,1,1.3630999999999998,29.26,1,2.298,10,0,2,0.7692307692307693,0.0,0.1538461538461538,0.4,0.1,180.106276636,13,2,1,1,1,1,1,0,0
36,Z416877182,EnamineSolWat,OCC1CCN(CC(F)(F)F)CC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc260a0>,OCC1CCN(CC(F)(F)F)CC1,2,1,1.253,23.47,2,2.238,8,1,1,0.6153846153846154,0.0769230769230769,0.0769230769230769,1.0,0.0,197.102748728,13,1,1,0,1,1,0,0,0
37,Z3228022617,EnamineSolWat,N=c1cc[nH]n1-c1ccc(C(F)(F)F)cn1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26110>,Nc1ccnn1-c1ccc(C(F)(F)F)cn1,3,2,1.69867,57.46,1,3.065,9,0,4,0.5625,0.0,0.25,0.1111111111111111,0.0,228.062280884,16,2,0,2,2,0,2,0,0
38,Z2689031644,EnamineSolWat,O=C(O)c1nc(C(F)(F)F)n2c1CCCC2,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26180>,O=C(O)c1nc(C(F)(F)F)n2c1CCCC2,3,1,1.9364,55.12,1,2.628,9,2,2,0.5625,0.125,0.125,0.5555555555555556,0.0,234.061612188,16,2,1,1,2,1,1,0,0
39,Z1428158219,EnamineSolWat,O=C1CCCC(C(F)(F)F)N1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc261f0>,O=C1CCCC(C(F)(F)F)N1,1,1,1.2174,29.1,0,3.207,6,1,1,0.5454545454545454,0.0909090909090909,0.0909090909090909,0.8333333333333334,0.1666666666666666,167.055798536,11,1,1,0,1,1,0,0,0
40,Z3910448879,EnamineSolWat,Cc1[nH]nc(C(=O)O)c1C(F)(F)F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26260>,Cc1[nH]nc(C(=O)O)c1C(F)(F)F,2,2,1.4351200000000002,65.98,1,2.718,6,2,2,0.4615384615384615,0.1538461538461538,0.1538461538461538,0.3333333333333333,0.0,194.03031206,13,1,0,1,1,0,1,0,0
41,Z3900519198,EnamineSolWat,NCC(F)(F)c1[nH]nc2c1CCCC2,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc262d0>,NCC(F)(F)c1[nH]nc2c1CCCC2,2,2,1.3390000000000002,54.7,2,3.334,9,0,3,0.6428571428571429,0.0,0.2142857142857142,0.6666666666666666,0.0,201.107753856,14,2,1,1,1,0,1,0,0
42,Z3900519200,EnamineSolWat,CC(C)c1cc(C(F)(F)CN)[nH]n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26340>,CC(C)c1cc(C(F)(F)CN)[nH]n1,2,2,1.5836,54.7,3,3.333,8,0,3,0.6153846153846154,0.0,0.2307692307692307,0.625,0.0,189.107753856,13,1,0,1,1,0,1,0,0
43,Z3236164409,EnamineSolWat,N=c1[nH][nH]c2nc(C(F)(F)F)ccc12,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc263b0>,Nc1n[nH]c2nc(C(F)(F)F)ccc12,2,3,1.38927,68.32,0,3.468,7,0,4,0.5,0.0,0.2857142857142857,0.1428571428571428,0.0,202.04663082,14,2,0,2,2,0,2,0,0
44,Z1456604563,EnamineSolWat,NC1CCN(C(=O)c2ccccc2F)C1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26420>,Cl.NC1CCN(C(=O)c2ccccc2F)C1,2,1,0.9988999999999996,46.33,1,2.272,11,1,2,0.7333333333333333,0.0666666666666666,0.1333333333333333,0.3636363636363636,0.0909090909090909,208.101191256,15,2,1,1,1,1,1,0,0
45,Z1525651005,EnamineSolWat,Cc1nc(CO)c2ccccn12,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26490>,Cc1nc(CO)c2ccccn12,3,1,1.13502,37.53,1,2.513,9,1,2,0.75,0.0833333333333333,0.1666666666666666,0.2222222222222222,0.0,162.07931294,12,2,0,2,2,0,2,0,0
46,Z1891776232,EnamineSolWat,NC1CCCN(c2cccnc2)C1=O,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26500>,NC1CCCN(c2cccnc2)C1=O,3,1,0.5357000000000001,59.22,1,2.679,10,1,3,0.7142857142857143,0.0714285714285714,0.2142857142857142,0.4,0.1,191.105862036,14,2,1,1,2,1,1,0,0
47,Z1891775574,EnamineSolWat,COc1ccc(C2C(CO)CCN2C)cc1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26570>,COc1ccc(C2C(CO)CCN2C)cc1,3,1,1.6803,32.7,3,2.817,13,2,1,0.8125,0.125,0.0625,0.5384615384615384,0.1538461538461538,221.141578848,16,2,1,1,1,1,1,0,0
48,Z2050688117,EnamineSolWat,OCC1CNCCC1C(F)(F)F,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc265e0>,Cl.OCC1CNCCC1C(F)(F)F,2,2,0.7666999999999999,32.26,1,3.738,7,1,1,0.5833333333333334,0.0833333333333333,0.0833333333333333,1.0,0.2857142857142857,183.087098664,12,1,1,0,1,1,0,0,0
49,Z3231950762,EnamineSolWat,NC1CCCN(Cc2ccccn2)C1=O,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26650>,NC1CCCN(Cc2ccccn2)C1=O,3,1,0.5312999999999997,59.22,2,2.628,11,1,3,0.7333333333333333,0.0666666666666666,0.2,0.4545454545454545,0.0909090909090909,205.1215121,15,2,1,1,2,1,1,0,0
50,Z3227949911,EnamineSolWat,CCN1Cc2cccc(N)c2C1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc266c0>,CCN1Cc2cccc(N)c2C1,2,1,1.6043,29.26,1,2.188,10,0,2,0.8333333333333334,0.0,0.1666666666666666,0.4,0.0,162.115698448,12,2,1,1,1,1,1,0,0
51,Z3234950487,EnamineSolWat,O=C(O)c1nc(C2CC2)n2ccccc12,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26730>,O=C(O)c1nc(C2CC2)n2ccccc12,3,1,1.9099,54.6,2,2.335,11,2,2,0.7333333333333333,0.1333333333333333,0.1333333333333333,0.2727272727272727,0.0,202.07422756,15,3,1,2,2,0,2,0,0
52,Z3900524702,EnamineSolWat,OCc1cnc(C(F)(F)F)o1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc267a0>,OCc1cnc(C(F)(F)F)o1,3,1,1.1857,46.260000000000005,1,3.014,5,2,1,0.4545454545454545,0.1818181818181818,0.0909090909090909,0.4,0.0,167.019413028,11,1,0,1,1,0,1,0,0
53,Z212045098,EnamineSolWat,N#CCc1ncc(C(F)(F)F)cc1Cl,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26810>,N#CCc1ncc(C(F)(F)F)cc1Cl,2,0,2.8198800000000004,36.68,1,2.626,8,0,2,0.5714285714285714,0.0,0.1428571428571428,0.25,0.0,220.001510468,14,1,0,1,1,0,1,0,0
54,Z332385196,EnamineSolWat,N=c1[nH]nc(-c2cccc(C(F)(F)F)c2)s1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26880>,Nc1nnc(-c2cccc(C(F)(F)F)c2)s1,3,2,2.636470000000001,52.53,1,2.822,9,0,3,0.5625,0.0,0.1875,0.1111111111111111,0.0,245.023452852,16,2,0,2,1,0,2,0,0
55,Z3219906162,EnamineSolWat,N=c1ccc(Oc2cccc(C(N)=O)c2)c[nH]1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc268f0>,NC(=O)c1cccc(Oc2ccc(N)nc2)c1,3,3,1.38537,91.95999999999998,3,2.631,12,2,3,0.7058823529411765,0.1176470588235294,0.1764705882352941,0.0,0.0,229.085126592,17,2,0,2,1,0,2,0,0
56,Z3238892068,EnamineSolWat,NC1(c2nnc3n2CCCC3)CCC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26960>,NC1(c2nnc3n2CCCC3)CCC1,4,1,0.9522999999999991,56.73,1,2.901,10,0,4,0.7142857142857143,0.0,0.2857142857142857,0.8,0.0,192.137496512,14,3,2,1,2,1,1,0,0
57,Z2227468216,EnamineSolWat,Fc1cc(Cl)c2c(c1)CNCC2,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc269d0>,Cl.Fc1cc(Cl)c2c(c1)CNCC2,1,1,2.1248,12.03,0,2.508,9,0,1,0.75,0.0,0.0833333333333333,0.3333333333333333,0.0,185.040755188,12,2,1,1,1,1,1,0,0
58,Z2231042088,EnamineSolWat,CC(N)c1csc(-c2ccccc2F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26a40>,CC(N)c1csc(-c2ccccc2F)n1.Cl,3,1,2.9689000000000005,38.91,2,2.592,11,0,2,0.7333333333333333,0.0,0.1333333333333333,0.1818181818181818,0.0909090909090909,222.062697572,15,2,0,2,1,0,2,0,0
59,Z2446885684,EnamineSolWat,NCC1CCN(CC(F)(F)F)CC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26ab0>,NCC1CCN(CC(F)(F)F)CC1,2,1,1.2193999999999998,29.26,2,2.296,8,0,2,0.6153846153846154,0.0,0.1538461538461538,1.0,0.0,196.11873314,13,1,1,0,1,1,0,0,0
60,Z1436474614,EnamineSolWat,O=C(Cc1cccc(F)c1)N1CCCC1C1CCNCC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26b20>,Cl.O=C(Cc1cccc(F)c1)N1CCCC1C1CCNCC1,2,1,2.3588000000000005,32.34,3,2.653,17,1,2,0.8095238095238095,0.0476190476190476,0.0952380952380952,0.5882352941176471,0.0588235294117647,290.179441576,21,3,2,1,2,2,1,0,0
61,Z2289799672,EnamineSolWat,NCCOc1cncc(Cl)c1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26b90>,NCCOc1cncc(Cl)c1,3,1,1.0724999999999998,48.14,3,2.221,7,1,2,0.6363636363636364,0.0909090909090909,0.1818181818181818,0.2857142857142857,0.0,172.040340588,11,1,0,1,1,0,1,0,0
62,Z2311219917,EnamineSolWat,CN1C(=O)CC[C@@H](N)[C@@H]1c1ccnn1C,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26c00>,CN1C(=O)CC[C@@H](N)[C@@H]1c1ccnn1C,4,1,0.0406999999999992,64.15,1,3.629,10,1,4,0.6666666666666666,0.0666666666666666,0.2666666666666666,0.6,0.2,208.132411132,15,2,1,1,2,1,1,0,0
63,Z3215173557,EnamineSolWat,CCN1CC[C@H]2OCCN[C@H]2C1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26c70>,CCN1CC[C@H]2OCCN[C@H]2C1,3,1,0.069,24.5,1,3.504,9,1,2,0.75,0.0833333333333333,0.1666666666666666,1.0,0.2222222222222222,170.141913196,12,2,2,0,2,2,0,0,0
64,Z337709400,EnamineSolWat,NCC1OCCc2ccccc21,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26ce0>,NCC1OCCc2ccccc21,2,1,1.2590999999999997,35.25,1,2.736,10,1,1,0.8333333333333334,0.0833333333333333,0.0833333333333333,0.4,0.1,163.099714036,12,2,1,1,1,1,1,0,0
65,Z3236266073,EnamineSolWat,Cc1c(C(=O)O)cnn1-c1ccc(C(F)(F)F)cc1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26d50>,Cc1c(C(=O)O)cnn1-c1ccc(C(F)(F)F)cc1,3,1,2.8977200000000005,55.12,2,2.006,12,2,2,0.631578947368421,0.1052631578947368,0.1052631578947368,0.1666666666666666,0.0,270.061612188,19,2,0,2,1,0,2,0,0
66,Z951401984,EnamineSolWat,CN1CCCN(Cc2ccc(CN)cc2)CC1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26dc0>,CN1CCCN(Cc2ccc(CN)cc2)CC1,3,1,1.2828,32.5,3,1.767,14,0,3,0.8235294117647058,0.0,0.1764705882352941,0.5714285714285714,0.0,233.189197736,17,2,1,1,1,1,1,0,0
67,Z1427532303,EnamineSolWat,COc1cccc(C(F)(F)F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26e30>,COc1cccc(C(F)(F)F)n1,2,0,2.109,22.12,1,2.106,7,1,1,0.5833333333333334,0.0833333333333333,0.0833333333333333,0.2857142857142857,0.0,177.040148472,12,1,0,1,1,0,1,0,0
68,Z2235330185,EnamineSolWat,NCc1ccn(CC(F)(F)F)n1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26ea0>,Cl.NCc1ccn(CC(F)(F)F)n1,3,1,0.9041,43.84,2,2.757,6,0,3,0.5,0.0,0.25,0.5,0.0,179.067031916,12,1,0,1,1,0,1,0,0
69,Z3243450040,EnamineSolWat,Cc1ccc2c(c1F)CNCC2,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26f10>,Cc1ccc2c(c1F)CNCC2,1,1,1.77982,12.03,0,2.533,10,0,1,0.8333333333333334,0.0,0.0833333333333333,0.4,0.0,165.095377604,12,2,1,1,1,1,1,0,0
70,Z2235678822,EnamineSolWat,FC(F)(F)c1ccnc(C2CCNC2)c1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26f80>,Cl.Cl.FC(F)(F)c1ccnc(C2CCNC2)c1,2,1,2.1773,24.92,1,3.009,10,0,2,0.6666666666666666,0.0,0.1333333333333333,0.5,0.1,216.087433012,15,2,1,1,2,1,1,0,0
71,Z2235399139,EnamineSolWat,NCc1ncc(C(F)(F)F)cn1,,,<rdkit.Chem.rdchem.Mol object at 0x7a142fc26ff0>,Cl.NCc1ncc(C(F)(F)F)cn1,3,1,0.9541000000000002,51.8,1,2.535,6,0,3,0.5,0.0,0.25,0.3333333333333333,0.0,177.051381852,12,1,0,1,1,0,1,0,0
