,ID,Database,SMILES_chiral,Counts,ROMol,SMILES,HBA,HBD,LOGP,TPSA,RB,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
12,QHM-0001203,CRAFT,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)Nc1ccccc1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfa00>,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)Nc1ccccc1,5,2,2.3434,109.77,4,2.193,12,4,4,0.6,0.2,0.2,0.0,0.0,274.0702048,20,2,0,2,1,0,2,0,0
13,QHM-0001202,CRAFT,O=C(NCC1CCCCC1)N/N=C/c1ccc([N+](=O)[O-])o1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfa70>,O=C(NCC1CCCCC1)N/N=C/c1ccc([N+](=O)[O-])o1,5,2,2.4012,109.77,5,2.514,13,4,4,0.6190476190476191,0.1904761904761904,0.1904761904761904,0.5384615384615384,0.0,294.13280505599994,21,2,1,1,1,0,1,0,0
14,QHM-0001201,CRAFT,COc1ccc(-c2[nH]nc3cc(NC(C)=O)ccc23)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfae0>,COc1ccc(-c2n[nH]c3cc(NC(C)=O)ccc23)cc1,3,2,3.196900000000001,67.00999999999999,3,2.018,16,2,3,0.7619047619047619,0.0952380952380952,0.1428571428571428,0.125,0.0,281.11642672,21,3,0,3,1,0,3,0,0
15,QHM-0001200,CRAFT,CC(=O)Nc1ccc2c(-c3ccc(C(F)(F)F)cc3)[nH]nc2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfb50>,CC(=O)Nc1ccc2c(-c3ccc(C(F)(F)F)cc3)n[nH]c2c1,2,2,4.207100000000002,57.78,2,2.2,16,1,3,0.6956521739130435,0.0434782608695652,0.1304347826086956,0.125,0.0,319.09324666400005,23,3,0,3,1,0,3,0,0
16,QHM-0001199,CRAFT,CC(=O)Nc1ccc2c(-c3ccc(C)cc3)[nH]nc2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfbc0>,CC(=O)Nc1ccc2c(-c3ccc(C)cc3)n[nH]c2c1,2,2,3.4967200000000016,57.78,2,2.027,16,1,3,0.8,0.05,0.15,0.125,0.0,265.1215121,20,3,0,3,1,0,3,0,0
17,QHM-0001198,CRAFT,CC(=O)Nc1ccc2c(-c3ccccc3)[nH]nc2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfc30>,CC(=O)Nc1ccc2c(-c3ccccc3)n[nH]c2c1,2,2,3.188300000000001,57.78,2,1.972,15,1,3,0.7894736842105263,0.0526315789473684,0.1578947368421052,0.0666666666666666,0.0,251.105862036,19,3,0,3,1,0,3,0,0
18,QHM-0001197,CRAFT,O=C1NC(=S)NC(=O)C1=Cc1c(Cl)cccc1Cl,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfca0>,O=C1NC(=S)NC(=O)C1=Cc1c(Cl)cccc1Cl,3,2,1.9077,58.2,1,2.494,11,2,2,0.6111111111111112,0.1111111111111111,0.1111111111111111,0.0,0.0,299.952703792,18,2,1,1,1,1,1,0,0
19,QHM-0001196,CRAFT,O=C1NC(=S)NC(=O)C1=C/C=C/c1ccccc1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfd10>,O=C1NC(=S)NC(=O)C1=C/C=C/c1ccccc1,3,2,1.1571000000000002,58.2,2,2.47,13,2,2,0.7222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,258.04629856,18,2,1,1,1,1,1,0,0
20,QHM-0001195,CRAFT,CC(C)OC(=O)Cc1cccnc1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfd80>,CC(C)OC(=O)Cc1cccnc1,3,0,1.5757,39.19,3,1.884,10,2,1,0.7692307692307693,0.1538461538461538,0.0769230769230769,0.4,0.0,179.094628656,13,1,0,1,1,0,1,0,0
21,QHM-0001194,CRAFT,Cc1ccc(-n2cc3cc(NC(=O)N4CCN(C(C)C)CC4)ccc3c2O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfdf0>,Cc1ccc(N2Cc3cc(NC(=O)N4CCN(C(C)C)CC4)ccc3C2=O)cc1,4,2,4.202420000000003,60.74000000000001,3,2.473,23,2,4,0.7931034482758621,0.0689655172413793,0.1379310344827586,0.3478260869565217,0.0,392.221226136,29,4,1,3,2,1,3,0,0
22,QHM-0001193,CRAFT,O=c1[nH]cc(I)c(=O)[nH]1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfe60>,O=c1[nH]cc(I)c(=O)[nH]1,2,2,-0.3322,65.72,0,2.946,4,2,2,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.0,237.923925336,9,1,0,1,1,0,1,0,0
23,QHM-0001192,CRAFT,CC(=O)Nc1ccc2c(I)nn(C(C)=O)c2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddfed0>,CC(=O)Nc1ccc2c(I)nn(C(C)=O)c2c1,4,1,2.2594000000000003,63.99,1,2.551,11,2,3,0.6470588235294118,0.1176470588235294,0.1764705882352941,0.1818181818181818,0.0,342.98177456,17,2,0,2,1,0,2,0,0
24,QHM-0001191,CRAFT,Nc1ccc2c(O)n(C3CC3)cc2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a1422ddff40>,Nc1ccc2c(c1)CN(C1CC1)C2=O,3,2,2.264,51.18,1,2.611,11,1,2,0.7857142857142857,0.0714285714285714,0.1428571428571428,0.2727272727272727,0.0,188.094963004,14,3,1,2,1,0,2,0,0
25,QHM-0001190,CRAFT,CCN1C(=O)c2ccc(N)cc2C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280040>,CCN1C(=O)c2ccc(N)cc2C1=O,3,1,0.8847,63.4,1,1.968,10,2,2,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.2,0.0,190.07422756,14,2,1,1,1,1,1,0,0
26,QHM-0001189,CRAFT,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCBr,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2800b0>,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCBr,4,0,1.5857,80.52,3,2.234,10,4,2,0.5882352941176471,0.2352941176470588,0.1176470588235294,0.2,0.0,297.958918804,17,2,1,1,1,1,1,0,0
27,QHM-0001188,CRAFT,CCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280120>,CCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,4,0,1.6008,80.52000000000001,3,1.96,11,4,2,0.6470588235294118,0.2352941176470588,0.1176470588235294,0.2727272727272727,0.0,234.0640568,17,2,1,1,1,1,1,0,0
28,QHM-0001187,CRAFT,Cc1ccc(CN2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280190>,Cc1ccc(CN2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)cc1,4,0,2.699420000000001,80.52000000000001,3,1.864,16,4,2,0.7272727272727273,0.1818181818181818,0.0909090909090909,0.125,0.0,296.079706864,22,3,1,2,1,1,2,0,0
29,QHM-0001186,CRAFT,CCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280200>,CCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,4,0,1.2107,80.52000000000001,2,1.983,10,4,2,0.625,0.25,0.125,0.2,0.0,220.048406736,16,2,1,1,1,1,1,0,0
30,QHM-0001185,CRAFT,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280270>,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,4,1,0.4783999999999999,89.31,1,2.131,8,4,2,0.5714285714285714,0.2857142857142857,0.1428571428571428,0.0,0.0,192.017106608,14,2,1,1,1,1,1,0,0
31,QHM-0001184,CRAFT,Cc1ccc(CN2Cc3cc([N+](=O)[O-])ccc3C2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2802e0>,Cc1ccc(CN2Cc3cc([N+](=O)[O-])ccc3C2=O)cc1,3,0,3.0592200000000016,63.45,3,2.001,16,3,2,0.7619047619047619,0.1428571428571428,0.0952380952380952,0.1875,0.0,282.100442308,21,3,1,2,1,1,2,0,0
32,QHM-0001183,CRAFT,CCN1Cc2cc([N+](=O)[O-])ccc2C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280350>,CCN1Cc2cc([N+](=O)[O-])ccc2C1=O,3,0,1.5705,63.45,2,2.21,10,3,2,0.6666666666666666,0.2,0.1333333333333333,0.3,0.0,206.06914218,15,2,1,1,1,1,1,0,0
33,QHM-0001182,CRAFT,O=C1c2ccc([N+](=O)[O-])cc2CN1C1CC1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2803c0>,O=C1c2ccc([N+](=O)[O-])cc2CN1C1CC1,3,0,1.713,63.45,2,2.205,11,3,2,0.6875,0.1875,0.125,0.3636363636363636,0.0,218.06914218,16,3,2,1,1,1,1,0,0
34,QHM-0001181,CRAFT,CCOC(=O)c1cc2c(Br)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280430>,CCOC(=O)c1cc2c(Br)cnn2cn1,5,0,1.6684999999999997,56.49,2,2.704,9,2,3,0.6,0.1333333333333333,0.2,0.2222222222222222,0.0,268.979988596,15,2,0,2,2,0,2,0,0
35,QHM-0001180,CRAFT,CCOC(=O)c1cc2c3ccccc3nn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2804a0>,CCOC(=O)c1cc2c3ccccc3nn2cn1,5,0,2.0592,56.49,2,2.375,13,2,3,0.7222222222222222,0.1111111111111111,0.1666666666666666,0.1538461538461538,0.0,241.085126592,18,3,0,3,2,0,3,0,0
36,QHM-0001179,CRAFT,CCOC(=O)c1cc2c(C#N)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280510>,CCOC(=O)c1cc2c(C#N)cnn2cn1,6,0,0.7776799999999998,80.28,2,2.777,10,2,4,0.625,0.125,0.25,0.2,0.0,216.064725496,16,2,0,2,2,0,2,0,0
37,QHM-0001177,CRAFT,CCOC(=O)c1cc2c(C3NCCc4ccccc43)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280580>,CCOC(=O)c1cc2c(C3NCCc4ccccc43)cnn2cn1,6,1,2.1411,68.52,3,3.161,18,2,4,0.75,0.0833333333333333,0.1666666666666666,0.2777777777777778,0.0555555555555555,322.14297581600005,24,4,1,3,3,1,3,0,0
38,QHM-0001176,CRAFT,CCOC(=O)c1cc2c(C(=O)C[NH+]([O-])O)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2805f0>,CCOC(=O)c1cc2c(C(O)C[N+](=O)[O-])cnn2cn1,8,2,-1.1393999999999984,121.29,5,4.08,11,5,4,0.55,0.25,0.2,0.2727272727272727,0.0,280.08076948400003,20,2,0,2,2,0,2,0,0
39,QHM-0001175,CRAFT,CCOC(=O)c1cc2c(C=O)cnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280660>,CCOC(=O)c1cc2c(C=O)cnn2cn1,6,0,0.7184999999999999,73.56,3,2.722,10,3,3,0.625,0.1875,0.1875,0.2,0.0,219.064391148,16,2,0,2,2,0,2,0,0
40,QHM-0001174,CRAFT,CCOC(=O)c1cc2ccnn2cn1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2806d0>,CCOC(=O)c1cc2ccnn2cn1,5,0,0.906,56.49,2,2.628,9,2,3,0.6428571428571429,0.1428571428571428,0.2142857142857142,0.2222222222222222,0.0,191.069476528,14,2,0,2,2,0,2,0,0
41,QHM-0001173,CRAFT,Nc1ccc2c(I)[nH]nc2c1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280740>,Nc1ccc2c(I)n[nH]c2c1,2,2,1.7497,54.7,0,2.738,7,0,3,0.6363636363636364,0.0,0.2727272727272727,0.0,0.0,258.960645192,11,2,0,2,1,0,2,0,0
42,QHM-0001172,CRAFT,Cc1ccc(/C=C/C=C2C(=O)OC(C)(C)OC2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2807b0>,Cc1ccc(/C=C/C=C2C(=O)OC(C)(C)OC2=O)cc1,4,0,2.7707200000000007,52.6,2,2.547,16,4,0,0.8,0.2,0.0,0.25,0.0,272.104858992,20,2,1,1,1,1,1,0,0
43,QHM-0001171,CRAFT,CN(C)c1ccc(/C=C/C=C2C(=O)OC(C)(C)OC2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280820>,CN(C)c1ccc(/C=C/C=C2C(=O)OC(C)(C)OC2=O)cc1,5,0,2.5283000000000007,55.84,3,2.662,17,4,1,0.7727272727272727,0.1818181818181818,0.0454545454545454,0.2941176470588235,0.0,301.131408088,22,2,1,1,1,1,1,0,0
44,QHM-0001170,CRAFT,CC1(C)OC(=O)C(=C/C=C/c2ccccc2Br)C(=O)O1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280890>,CC1(C)OC(=O)C(=C/C=C/c2ccccc2Br)C(=O)O1,4,0,3.224800000000002,52.60000000000001,2,2.735,15,4,0,0.75,0.2,0.0,0.2,0.0,335.99972099599995,20,2,1,1,1,1,1,0,0
45,QHM-0001169,CRAFT,CC1(C)OC(=O)C(=C/C=C/c2ccc(Br)cc2)C(=O)O1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280900>,CC1(C)OC(=O)C(=C/C=C/c2ccc(Br)cc2)C(=O)O1,4,0,3.224800000000002,52.60000000000001,2,2.632,15,4,0,0.75,0.2,0.0,0.2,0.0,335.99972099599995,20,2,1,1,1,1,1,0,0
46,QHM-0001168,CRAFT,COc1ccccc1/C=C/C=C1C(=O)OC(C)(C)OC1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280970>,COc1ccccc1/C=C/C=C1C(=O)OC(C)(C)OC1=O,5,0,2.4709000000000003,61.830000000000005,3,2.579,16,5,0,0.7619047619047619,0.238095238095238,0.0,0.25,0.0,288.099773612,21,2,1,1,1,1,1,0,0
47,QHM-0001167,CRAFT,CC1(C)OC(=O)C(=Cc2ccc(F)cc2)C(=O)O1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2809e0>,CC1(C)OC(=O)C(=Cc2ccc(F)cc2)C(=O)O1,4,0,2.0452,52.60000000000001,1,2.344,13,4,0,0.7222222222222222,0.2222222222222222,0.0,0.2307692307692307,0.0,250.064137052,18,2,1,1,1,1,1,0,0
48,QHM-0001166,CRAFT,CC(C)=CC=C1C(=O)OC(C)(C)OC1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280a50>,CC(C)=CC=C1C(=O)OC(C)(C)OC1=O,4,0,1.7151,52.6,1,3.063,11,4,0,0.7333333333333333,0.2666666666666666,0.0,0.4545454545454545,0.0,210.089208928,15,1,1,0,1,1,0,0,0
49,QHM-0001165,CRAFT,O=c1cc(C=CCc2ccccc2)c(=O)[nH][nH]1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280ac0>,O=C1C/C(=C\C=C\c2ccccc2)C(=O)NN1,2,2,1.3191,65.72,3,2.622,13,2,2,0.7647058823529411,0.1176470588235294,0.1176470588235294,0.0769230769230769,0.0,228.089877624,17,2,0,2,1,0,2,0,0
50,QHM-0001164,CRAFT,COc1ccc(C=CCc2cc(=O)[nH][nH]c2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280b30>,COc1ccc(/C=C/C=C2\CC(=O)NNC2=O)cc1,3,2,1.3277,74.95,4,2.576,14,3,2,0.7368421052631579,0.1578947368421052,0.1052631578947368,0.1428571428571428,0.0,258.100442308,19,2,0,2,1,0,2,0,0
51,QHM-0001163,CRAFT,COc1ccc(/C=C/C=C2\C(=O)NC(=O)N(C)C2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280ba0>,COc1ccc(/C=C/C=C2\C(=O)NC(=O)N(C)C2=O)cc1,4,1,1.343,75.71000000000001,3,2.357,15,4,2,0.7142857142857143,0.1904761904761904,0.0952380952380952,0.1333333333333333,0.0,286.095356928,21,2,1,1,1,1,1,0,0
52,QHM-0001162,CRAFT,CN1C(=O)NC(=O)/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280c10>,CN1C(=O)NC(=O)/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)C1=O,5,1,1.2426,109.62,3,2.513,14,5,3,0.6363636363636364,0.2272727272727272,0.1363636363636363,0.0714285714285714,0.0,301.06987045200003,22,2,1,1,1,1,1,0,0
53,QHM-0001161,CRAFT,CN1C(=O)NC(=O)/C(=C\C=C\c2ccccc2)C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280c80>,CN1C(=O)NC(=O)/C(=C\C=C\c2ccccc2)C1=O,3,1,1.3344,66.48,2,2.354,14,3,2,0.7368421052631579,0.1578947368421052,0.1052631578947368,0.0714285714285714,0.0,256.084792244,19,2,1,1,1,1,1,0,0
54,QHM-0001160,CRAFT,COc1ccc(-c2nc3cc(Cl)ccc3s2)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280cf0>,COc1ccc(-c2nc3cc(Cl)ccc3s2)cc1,3,0,4.625300000000002,22.12,2,1.746,14,1,1,0.7777777777777778,0.0555555555555555,0.0555555555555555,0.0714285714285714,0.0,275.01716262,18,3,0,3,1,0,3,0,0
55,QHM-0001159,CRAFT,CN1C(=O)C(=C/C=C/c2ccc([N+](=O)[O-])cc2)C(=O)N(C)C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280d60>,CN1C(=O)C(=C/C=C/c2ccc([N+](=O)[O-])cc2)C(=O)N(C)C1=O,5,0,1.5848,100.83,3,2.527,15,5,3,0.6521739130434783,0.217391304347826,0.1304347826086956,0.1333333333333333,0.0,315.08552051600003,23,2,1,1,1,1,1,0,0
56,QHM-0001158,CRAFT,COc1ccccc1/C=C/C=C1C(=O)N(C)C(=O)N(C)C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280dd0>,COc1ccccc1/C=C/C=C1C(=O)N(C)C(=O)N(C)C1=O,4,0,1.6851999999999998,66.92,3,2.441,16,4,2,0.7272727272727273,0.1818181818181818,0.0909090909090909,0.1875,0.0,300.111006992,22,2,1,1,1,1,1,0,0
57,QHM-0001157,CRAFT,COc1ccc(/C=C/C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280e40>,COc1ccc(/C=C/C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1O,5,1,1.3907999999999998,87.15,3,2.569,16,5,2,0.6956521739130435,0.217391304347826,0.0869565217391304,0.1875,0.0,316.105921612,23,2,1,1,1,1,1,0,0
58,QHM-0001156,CRAFT,COc1ccc(/C=C/C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280eb0>,COc1ccc(/C=C/C=C2C(=O)N(C)C(=O)N(C)C2=O)cc1,4,0,1.6852,66.92,3,2.374,16,4,2,0.7272727272727273,0.1818181818181818,0.0909090909090909,0.1875,0.0,300.111006992,22,2,1,1,1,1,1,0,0
59,QHM-0001155,CRAFT,CN1C(=O)C(=C/C=C/c2ccccc2)C(=O)N(C)C1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280f20>,CN1C(=O)C(=C/C=C/c2ccccc2)C(=O)N(C)C1=O,3,0,1.6766,57.690000000000005,2,2.367,15,3,2,0.75,0.15,0.1,0.1333333333333333,0.0,270.100442308,20,2,1,1,1,1,1,0,0
60,QHM-0001154,CRAFT,O=C1NC(=O)C(=C/C=C/c2ccc(Cl)cc2)C(=O)N1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f280f90>,O=C1NC(=O)C(=C/C=C/c2ccc(Cl)cc2)C(=O)N1,3,2,1.6455999999999995,75.27,2,2.397,13,3,2,0.6842105263157895,0.1578947368421052,0.1052631578947368,0.0,0.0,276.03016982800006,19,2,1,1,1,1,1,0,0
61,QHM-0001153,CRAFT,CC(C)=CC=Cc1c(O)[nH]c(=O)[nH]c1=O,,<rdkit.Chem.rdchem.Mol object at 0x7a142f281000>,CC(C)/C=C/C=C1C(=O)NC(=O)NC1=O,3,3,0.7482,85.94999999999999,2,3.177,10,3,2,0.6666666666666666,0.2,0.1333333333333333,0.2,0.0,208.084792244,15,1,0,1,1,0,1,0,0
62,QHM-0001152,CRAFT,CN(C)c1ccc(/C=C/C=C2C(=O)NC(=O)NC2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f281070>,CN(C)c1ccc(/C=C/C=C2C(=O)NC(=O)NC2=O)cc1,4,2,1.0581999999999998,78.51,3,2.507,15,3,3,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.1333333333333333,0.0,285.11134134,21,2,1,1,1,1,1,0,0
63,QHM-0001151,CRAFT,O=C1NC(=O)C(=C/C=C/c2ccc(F)cc2)C(=O)N1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2810e0>,O=C1NC(=O)C(=C/C=C/c2ccc(F)cc2)C(=O)N1,3,2,1.1313,75.27,2,2.404,13,3,2,0.6842105263157895,0.1578947368421052,0.1052631578947368,0.0,0.0,260.059720368,19,2,1,1,1,1,1,0,0
64,QHM-0001150,CRAFT,Nc1ccc(C=C2C(=O)NC(=O)NC2=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f281150>,Nc1ccc(C=C2C(=O)NC(=O)NC2=O)cc1,4,3,0.0181999999999996,101.29,1,2.264,11,3,3,0.6470588235294118,0.1764705882352941,0.1764705882352941,0.0,0.0,231.064391148,17,2,1,1,1,1,1,0,0
65,QHM-0001149,CRAFT,O=C1NC(=O)C(=C/C=C/c2ccco2)C(=O)N1,,<rdkit.Chem.rdchem.Mol object at 0x7a142f2811c0>,O=C1NC(=O)C(=C/C=C/c2ccco2)C(=O)N1,4,2,0.5852,88.41,2,2.733,11,4,2,0.6470588235294118,0.2352941176470588,0.1176470588235294,0.0,0.0,232.048406736,17,2,1,1,2,1,1,0,0
