,ID,Database,SMILES_chiral,Counts,MW,HBA,HBD,LOGP,TPSA,RB,SA_score,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
49,LANaPDB_fragments_80,LANAPDB,c1ccoc1,25.0,68.026214748,1,0,1.2795999999999998,13.14,0,3.41,4,1,0,0.8,0.2,0.0,0.0,0.0,5,1,0,1,1,0,1,0,0
50,LANaPDB_fragments_82,LANAPDB,CCC(C)C,24.0,72.093900384,0,0,2.0524,0.0,1,1.683,5,0,0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0
51,LANaPDB_fragments_83,LANAPDB,C[C@@H]1CC[C@@H](O)CO1,23.0,116.083729624,2,1,0.5462,29.46,0,3.575,6,2,0,0.75,0.25,0.0,1.0,0.3333333333333333,8,1,1,0,1,1,0,0,0
52,LANaPDB_fragments_85,LANAPDB,CC(C=O)CC=O,23.0,100.052429496,2,0,0.4104,34.14,3,3.708,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.6,0.2,7,0,0,0,0,0,0,0,0
53,LANaPDB_fragments_86,LANAPDB,C=C(C=O)CO,23.0,86.036779432,2,1,-0.2662,37.3,2,3.763,4,2,0,0.6666666666666666,0.3333333333333333,0.0,0.25,0.0,6,0,0,0,0,0,0,0,0
54,LANaPDB_fragments_89,LANAPDB,CC=CC=O,22.0,70.041864812,1,0,0.7614000000000001,17.07,1,3.481,4,1,0,0.8,0.2,0.0,0.25,0.0,5,0,0,0,0,0,0,0,0
55,LANaPDB_fragments_93,LANAPDB,CCCC(=O)O,22.0,88.052429496,1,1,0.8711,37.3,2,1.744,4,2,0,0.6666666666666666,0.3333333333333333,0.0,0.75,0.0,6,0,0,0,0,0,0,0,0
56,LANaPDB_fragments_94,LANAPDB,C[C@@H]1C[C@H](O)CCO1,21.0,116.083729624,2,1,0.5462,29.46,0,3.392,6,2,0,0.75,0.25,0.0,1.0,0.3333333333333333,8,1,1,0,1,1,0,0,0
57,LANaPDB_fragments_100,LANAPDB,c1ccc2c(c1)OCO2,21.0,122.036779432,2,0,1.4152999999999996,18.46,0,1.524,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.1428571428571428,0.0,9,2,1,1,1,1,1,0,0
58,LANaPDB_fragments_101,LANAPDB,COc1cc(C=CC=O)ccc1O,21.0,178.06299418,3,1,1.6129,46.53,3,2.197,10,3,0,0.7692307692307693,0.2307692307692307,0.0,0.1,0.0,13,1,0,1,0,0,1,0,0
59,LANaPDB_fragments_104,LANAPDB,OC[C@@H]1C[C@H](O)CCO1,21.0,132.078644244,3,2,-0.4814,49.69,1,3.332,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,9,1,1,0,1,1,0,0,0
60,LANaPDB_fragments_117,LANAPDB,CC1=CCC[C@@H]2C(C)(C)[C@@](C)(O)[C@@H](O)C[C@@]12C,20.0,238.193280072,2,2,2.8908000000000014,40.46,0,4.474,15,2,0,0.8823529411764706,0.1176470588235294,0.0,0.8666666666666667,0.2666666666666666,17,2,2,0,0,0,0,0,0
61,LANaPDB_fragments_120,LANAPDB,C=C1C(=O)O[C@@H]2/C=C(\C)CC=CC(C=O)CC[C@@H]12,20.0,246.125594436,3,0,2.585700000000001,43.370000000000005,1,5.022,15,3,0,0.8333333333333334,0.1666666666666666,0.0,0.4666666666666667,0.2,18,2,2,0,1,1,0,0,0
62,LANaPDB_fragments_128,LANAPDB,CCCO,19.0,60.057514876,1,1,0.3887,20.23,1,1.964,3,1,0,0.75,0.25,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0
63,LANaPDB_fragments_129,LANAPDB,CC(C)CN,19.0,73.08914935199999,1,1,0.6011000000000001,26.02,1,1.989,4,0,1,0.8,0.0,0.2,1.0,0.0,5,0,0,0,0,0,0,0,0
64,LANaPDB_fragments_130,LANAPDB,CC(=O)c1cccc(O)c1O,19.0,152.047344116,3,2,1.3003999999999998,57.53,1,1.84,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.125,0.0,11,1,0,1,0,0,1,0,0
65,LANaPDB_fragments_132,LANAPDB,O=c1ccoc2cc(O)ccc12,18.0,162.031694052,3,1,1.4986,50.44,0,2.176,9,3,0,0.75,0.25,0.0,0.0,0.0,12,2,0,2,1,0,2,0,0
66,LANaPDB_fragments_135,LANAPDB,COC=O,18.0,60.021129368,2,0,-0.2108000000000001,26.3,1,2.949,2,2,0,0.5,0.5,0.0,0.5,0.0,4,0,0,0,0,0,0,0,0
67,LANaPDB_fragments_141,LANAPDB,CC[C@@](C)(O)C=O,18.0,102.06807956,2,1,0.3463,37.3,2,3.666,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.8,0.2,7,0,0,0,0,0,0,0,0
68,LANaPDB_fragments_147,LANAPDB,C/C=C(\C)CCC,17.0,98.109550448,0,0,2.752700000000001,0.0,2,2.623,7,0,0,1.0,0.0,0.0,0.7142857142857143,0.0,7,0,0,0,0,0,0,0,0
69,LANaPDB_fragments_150,LANAPDB,COc1cccc(OC)c1O,17.0,154.06299418,3,1,1.4093999999999998,38.69,2,1.513,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.25,0.0,11,1,0,1,0,0,1,0,0
70,LANaPDB_fragments_164,LANAPDB,C[C@@H]1CCCCO1,17.0,100.088815004,1,0,1.5754,9.23,0,2.615,6,1,0,0.8571428571428571,0.1428571428571428,0.0,1.0,0.1666666666666666,7,1,1,0,1,1,0,0,0
71,LANaPDB_fragments_165,LANAPDB,C[C@H]1OCCC[C@@H]1O,17.0,116.083729624,2,1,0.5462,29.46,0,3.303,6,2,0,0.75,0.25,0.0,1.0,0.3333333333333333,8,1,1,0,1,1,0,0,0
72,LANaPDB_fragments_166,LANAPDB,CC(=O)O[C@H]1CCCO[C@@H]1C,17.0,158.094294308,3,0,1.117,35.53,1,3.159,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.875,0.25,11,1,1,0,1,1,0,0,0
73,LANaPDB_fragments_167,LANAPDB,CC(=O)O[C@@H]1CC[C@@H](C)OC1,17.0,158.094294308,3,0,1.117,35.53,1,3.27,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.875,0.25,11,1,1,0,1,1,0,0,0
74,LANaPDB_fragments_168,LANAPDB,CC(=O)O[C@@H]1CCO[C@H](C)C1,17.0,158.094294308,3,0,1.117,35.53,1,3.161,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.875,0.25,11,1,1,0,1,1,0,0,0
75,LANaPDB_fragments_176,LANAPDB,OC[C@H]1OCCC[C@@H]1O,17.0,132.078644244,3,2,-0.4814000000000002,49.69,1,3.179,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,9,1,1,0,1,1,0,0,0
76,LANaPDB_fragments_177,LANAPDB,OC[C@@H]1CCCCO1,17.0,116.083729624,2,1,0.5478000000000001,29.46,1,2.586,6,2,0,0.75,0.25,0.0,1.0,0.1666666666666666,8,1,1,0,1,1,0,0,0
77,LANaPDB_fragments_186,LANAPDB,CC1=CCC[C@@H]2C(C)(C)[C@@](C)(O)C[C@H](O)[C@@]12C,16.0,238.193280072,2,2,2.8908000000000014,40.46,0,4.533,15,2,0,0.8823529411764706,0.1176470588235294,0.0,0.8666666666666667,0.2666666666666666,17,2,2,0,0,0,0,0,0
78,LANaPDB_fragments_196,LANAPDB,C[C@H](O)[C@@](C)(O)C=O,16.0,118.06299418,3,2,-0.6829000000000001,57.53,2,4.066,5,3,0,0.625,0.375,0.0,0.8,0.4,8,0,0,0,0,0,0,0,0
79,LANaPDB_fragments_205,LANAPDB,COc1ccc(C)cc1OC,15.0,152.083729624,2,0,2.01222,18.46,2,1.235,9,2,0,0.8181818181818182,0.1818181818181818,0.0,0.3333333333333333,0.0,11,1,0,1,0,0,1,0,0
80,LANaPDB_fragments_212,LANAPDB,C1CCNCC1,15.0,85.08914935199999,1,1,0.7599,12.03,0,2.056,5,0,1,0.8333333333333334,0.0,0.1666666666666666,1.0,0.0,6,1,1,0,1,1,0,0,0
81,LANaPDB_fragments_213,LANAPDB,CCC/C(C)=C/CO,15.0,114.104465068,1,1,1.7251,20.23,3,2.599,7,1,0,0.875,0.125,0.0,0.7142857142857143,0.0,8,0,0,0,0,0,0,0,0
82,LANaPDB_fragments_219,LANAPDB,C[C@@H]1CC[C@H](O)[C@@]2(CO)CC[C@@H]3C[C@]12OC3(C)C,14.0,254.188194692,3,2,2.1036,49.69,1,5.71,15,3,0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.3333333333333333,18,3,3,0,1,1,0,1,2
83,LANaPDB_fragments_222,LANAPDB,C=C1C(=O)O[C@@H]2/C=C(/CO)CC/C=C(\C)CC[C@@H]12,14.0,248.1412445,3,1,2.523200000000001,46.53,1,4.398,15,3,0,0.8333333333333334,0.1666666666666666,0.0,0.5333333333333333,0.1333333333333333,18,2,2,0,1,1,0,0,0
84,LANaPDB_fragments_231,LANAPDB,O=Cc1ccc(O)cc1,14.0,122.036779432,2,1,1.2047,37.3,1,1.758,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,9,1,0,1,0,0,1,0,0
85,LANaPDB_fragments_234,LANAPDB,CC(C)=O,14.0,58.041864812,1,0,0.5952999999999999,17.07,0,1.655,3,1,0,0.75,0.25,0.0,0.6666666666666666,0.0,4,0,0,0,0,0,0,0,0
86,LANaPDB_fragments_241,LANAPDB,CCC=C(C)C,14.0,84.093900384,0,0,2.3626000000000005,0.0,1,2.628,6,0,0,1.0,0.0,0.0,0.6666666666666666,0.0,6,0,0,0,0,0,0,0,0
87,LANaPDB_fragments_245,LANAPDB,COc1ccc(C)cc1O,14.0,138.06807956,2,1,1.70922,29.46,1,1.495,8,2,0,0.8,0.2,0.0,0.25,0.0,10,1,0,1,0,0,1,0,0
88,LANaPDB_fragments_261,LANAPDB,CC1CC(O)C(O)CO1,13.0,132.078644244,3,2,-0.4830000000000001,49.69,0,3.697,6,3,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,9,1,1,0,1,1,0,0,0
89,LANaPDB_fragments_271,LANAPDB,CC1OC1(C)C=O,12.0,100.052429496,2,0,0.3627,29.6,1,4.227,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.8,0.4,7,1,1,0,1,1,0,0,0
90,LANaPDB_fragments_274,LANAPDB,COc1cccc(O)c1OC,12.0,154.06299418,3,1,1.4093999999999998,38.69,2,1.674,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.25,0.0,11,1,0,1,0,0,1,0,0
91,LANaPDB_fragments_275,LANAPDB,CC=C(C=O)COC(C)=O,12.0,142.06299418,3,0,0.6947000000000001,43.370000000000005,3,3.11,7,3,0,0.7,0.3,0.0,0.4285714285714285,0.0,10,0,0,0,0,0,0,0,0
92,LANaPDB_fragments_276,LANAPDB,O=c1ccoc2ccccc12,12.0,146.036779432,2,0,1.793,30.21,0,1.888,9,2,0,0.8181818181818182,0.1818181818181818,0.0,0.0,0.0,11,2,0,2,1,0,2,0,0
93,LANaPDB_fragments_277,LANAPDB,CC(=O)c1ccc(O)cc1O,12.0,152.047344116,3,2,1.3003999999999998,57.53,1,1.888,8,3,0,0.7272727272727273,0.2727272727272727,0.0,0.125,0.0,11,1,0,1,0,0,1,0,0
94,LANaPDB_fragments_283,LANAPDB,NCCc1ccc(O)cc1,12.0,137.084063972,2,2,0.8934,46.25,2,1.625,8,1,1,0.8,0.1,0.1,0.25,0.0,10,1,0,1,0,0,1,0,0
95,LANaPDB_fragments_287,LANAPDB,C[C@H](O)[C@](C)(O)C=O,12.0,118.06299418,3,2,-0.6829000000000001,57.53,2,4.066,5,3,0,0.625,0.375,0.0,0.8,0.4,8,0,0,0,0,0,0,0,0
96,LANaPDB_fragments_291,LANAPDB,C[C@@H]1C[C@H](O)[C@H](O)[C@@]2(C)CC[C@@H]3C[C@]12OC3(C)C,12.0,254.188194692,3,2,2.102,49.69,0,5.769,15,3,0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.4,18,3,3,0,1,1,0,1,2
97,LANaPDB_fragments_296,LANAPDB,C[C@@H]1CC[C@H](O)[C@@]2(C)[C@H](O)C[C@@H]3C[C@]12OC3(C)C,11.0,254.188194692,3,2,2.102,49.69,0,5.753,15,3,0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.4,18,3,3,0,1,1,0,1,2
98,LANaPDB_fragments_299,LANAPDB,O=C/C=C\c1ccccc1,11.0,132.057514876,1,0,1.8987,17.07,2,1.933,9,1,0,0.9,0.1,0.0,0.0,0.0,10,1,0,1,0,0,1,0,0
99,LANaPDB_fragments_302,LANAPDB,CCCC(C)=CC=O,11.0,112.088815004,1,0,1.9317,17.07,3,2.868,7,1,0,0.875,0.125,0.0,0.5714285714285714,0.0,8,0,0,0,0,0,0,0,0
100,LANaPDB_fragments_309,LANAPDB,NCCc1ccccc1,11.0,121.089149352,1,1,1.1878,26.02,2,1.292,8,0,1,0.8888888888888888,0.0,0.1111111111111111,0.25,0.0,9,1,0,1,0,0,1,0,0
101,LANaPDB_fragments_314,LANAPDB,C[C@@H]1CC[C@H](O)[C@@]2(C)CC[C@@H]3C(O)[C@]12OC3(C)C,11.0,254.188194692,3,2,2.102,49.69,0,5.664,15,3,0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.4,18,3,3,0,1,1,0,1,2
102,LANaPDB_fragments_315,LANAPDB,C=C(C)C,11.0,56.062600256,0,0,1.5824,0.0,0,2.349,4,0,0,1.0,0.0,0.0,0.5,0.0,4,0,0,0,0,0,0,0,0
103,LANaPDB_fragments_318,LANAPDB,COc1cccc(O)c1,11.0,124.052429496,2,1,1.4007999999999998,29.46,1,1.432,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.1428571428571428,0.0,9,1,0,1,0,0,1,0,0
104,LANaPDB_fragments_319,LANAPDB,CC(=O)NCC(C)C,11.0,115.099714036,1,1,0.7785,29.1,2,1.787,6,1,1,0.75,0.125,0.125,0.8333333333333334,0.0,8,0,0,0,0,0,0,0,0
105,LANaPDB_fragments_320,LANAPDB,COc1cc(O)ccc1O,11.0,140.047344116,3,2,1.1063999999999996,49.69,1,1.706,7,3,0,0.7,0.3,0.0,0.1428571428571428,0.0,10,1,0,1,0,0,1,0,0
106,LANaPDB_fragments_325,LANAPDB,CC(C)O,11.0,60.057514876,1,1,0.3871,20.23,0,1.738,3,1,0,0.75,0.25,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0
107,LANaPDB_fragments_336,LANAPDB,CC(C)C(C)C,10.0,86.109550448,0,0,2.2984,0.0,1,1.628,6,0,0,1.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0,0,0
108,LANaPDB_fragments_338,LANAPDB,C[C@@H]1CC[C@H](O)[C@@]2(C)CC[C@@H]3[C@@H](O)[C@]12OC3(C)C,10.0,254.188194692,3,2,2.102,49.69,0,5.664,15,3,0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.4,18,3,3,0,1,1,0,1,2
109,LANaPDB_fragments_342,LANAPDB,CC[C@](C)(O)C=O,10.0,102.06807956,2,1,0.3463,37.3,2,3.666,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.8,0.2,7,0,0,0,0,0,0,0,0
110,LANaPDB_fragments_343,LANAPDB,O=Cc1ccccc1O,10.0,122.036779432,2,1,1.2047,37.3,1,1.836,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,9,1,0,1,0,0,1,0,0
111,LANaPDB_fragments_346,LANAPDB,C=C1C(=O)O[C@@H]2/C=C(/C)CC[C@H]3O[C@]3(C)CC[C@@H]12,10.0,248.1412445,3,0,2.7620000000000013,38.83,0,4.672,15,3,0,0.8333333333333334,0.1666666666666666,0.0,0.6666666666666666,0.2666666666666666,18,3,3,0,2,2,0,0,0
112,LANaPDB_fragments_349,LANAPDB,C[C@@H]1C[C@H](O)C[C@@]2(CO)CC[C@@H]3C[C@]12OC3(C)C,10.0,254.188194692,3,2,2.1036,49.69,1,5.902,15,3,0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.3333333333333333,18,3,3,0,1,1,0,1,2
